,Ess,sess,ans1,ans2
335,0,0,0.626737242,0
336,0,0,0,0
337,0,0,0.200945361,0
338,0,0,0,0
339,0,0,0.138040923,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0.014321393,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0.202614591,0
350,0,0,0.164680396,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0.084451391,0
356,0,0,0.437944852,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0.087326415,0
362,0,0,0,0
